"id","entity","code","year_1","current_health_expenditure_per_capita_ppp_current_international","gdp_per_capita_ppp_current_international_$","population_historical_estimates","id-2","entity-2","code-2","year_2","life_expectancy_at_birth_total_years","health_expenditure_and_financing_per_capita_oecdstat_2017","population_historical_estimates-2","id-3","entity-3","code-3","year_3","indicator_current_health_expenditure_che_as_percentage_of_gross","id-4","entity-4","code-4","share_of_population_covered_by_health_insurance_ilo_2014"
2934,"Australia","AUS",2000,2155.341552734375,26343.076171875,18991434,2974,"Australia","AUS",2000,79.23414611816406,2767.6725,18991434,197,"Australia","AUS",2000,7.61,8,"Australia","AUS",100
2935,"Australia","AUS",2001,2279.328369140625,27439.828125,19194676,2975,"Australia","AUS",2001,79.63414764404297,2872.3738,19194676,198,"Australia","AUS",2001,7.7,8,"Australia","AUS",100
2936,"Australia","AUS",2002,2438.21826171875,28768.728515625,19401366,2976,"Australia","AUS",2002,79.93658447265625,2999.5093,19401366,199,"Australia","AUS",2002,7.89,8,"Australia","AUS",100
2937,"Australia","AUS",2003,2561.60107421875,29807.41015625,19624163,2977,"Australia","AUS",2003,80.23902130126953,3090.6573,19624163,200,"Australia","AUS",2003,7.9,8,"Australia","AUS",100
2938,"Australia","AUS",2004,2753.6796875,31407.4609375,19879654,2978,"Australia","AUS",2004,80.49024200439453,3240.3186,19879654,201,"Australia","AUS",2004,8.11,8,"Australia","AUS",100
2939,"Australia","AUS",2005,2841.891357421875,32653.40234375,20178543,2979,"Australia","AUS",2005,80.84146118164062,3242.9106,20178543,202,"Australia","AUS",2005,7.99,8,"Australia","AUS",100
2940,"Australia","AUS",2006,3012.346923828125,34369.62109375,20526300,2980,"Australia","AUS",2006,81.04146575927734,3323.2565,20526300,203,"Australia","AUS",2006,7.99,8,"Australia","AUS",100
2941,"Australia","AUS",2007,3180.87744140625,36599.8515625,20916339,2981,"Australia","AUS",2007,81.29268646240234,3415.193,20916339,204,"Australia","AUS",2007,8.07,8,"Australia","AUS",100
2942,"Australia","AUS",2008,3297.279052734375,37499.5234375,21332293,2982,"Australia","AUS",2008,81.3951187133789,3494.4375,21332293,205,"Australia","AUS",2008,8.26,8,"Australia","AUS",100
2943,"Australia","AUS",2009,3553.792236328125,40281.80078125,21750852,2983,"Australia","AUS",2009,81.54389953613281,3629.7041,21750852,206,"Australia","AUS",2009,8.56,8,"Australia","AUS",100
2944,"Australia","AUS",2010,3587.3037109375,39336.6640625,22154687,2984,"Australia","AUS",2010,81.69512176513672,3607.3407,22154687,207,"Australia","AUS",2010,8.43,8,"Australia","AUS",100
2945,"Australia","AUS",2011,3760.759765625,42003.15625,22538002,2985,"Australia","AUS",2011,81.8951187133789,3738.1767,22538002,208,"Australia","AUS",2011,8.54,8,"Australia","AUS",100
2946,"Australia","AUS",2012,3778.4736328125,42836.671875,22903951,2986,"Australia","AUS",2012,82.04634094238281,3831.3635,22903951,209,"Australia","AUS",2012,8.68,8,"Australia","AUS",100
2947,"Australia","AUS",2013,4161.6201171875,45906.44140625,23254912,2987,"Australia","AUS",2013,82.1487808227539,3901.7343,23254912,210,"Australia","AUS",2013,8.76,8,"Australia","AUS",100
2948,"Australia","AUS",2014,4283.14208984375,46880.89453125,23596426,2988,"Australia","AUS",2014,82.30000305175781,4009.8881,23596426,211,"Australia","AUS",2014,9.04,8,"Australia","AUS",100
2949,"Australia","AUS",2015,4392.07421875,46248.6171875,23932499,2989,"Australia","AUS",2015,82.4000015258789,4164.2213,23932499,212,"Australia","AUS",2015,9.33,8,"Australia","AUS",100
3193,"Austria","AUT",2000,2708.029541015625,29376.01953125,8069276,3233,"Austria","AUT",2000,78.1268310546875,3472.7366,8069276,217,"Austria","AUT",2000,9.2,9,"Austria","AUT",99.3
3194,"Austria","AUT",2001,2761.801025390625,29702.796875,8097755,3234,"Austria","AUT",2001,78.57560729980469,3531.3159,8097755,218,"Austria","AUT",2001,9.27,9,"Austria","AUT",99.3
3195,"Austria","AUT",2002,2935.818603515625,31178.693359375,8134403,3235,"Austria","AUT",2002,78.67804718017578,3620.3297,8134403,219,"Austria","AUT",2002,9.39,9,"Austria","AUT",99.3
3196,"Austria","AUT",2003,3073.730712890625,32144.2421875,8175855,3236,"Austria","AUT",2003,78.63170623779297,3695.6138,8175855,220,"Austria","AUT",2003,9.55,9,"Austria","AUT",99.3
