,Entity,Code,Share of population covered by health insurance (ILO (2014))
0,Albania,ALB,23.6
1,Algeria,DZA,85.2
2,American Samoa,ASM,3.0
3,Angola,AGO,0.0
4,Antigua and Barbuda,ATG,51.1
5,Argentina,ARG,96.8
6,Armenia,ARM,100.0
7,Aruba,ABW,99.2
8,Australia,AUS,100.0
9,Austria,AUT,99.3
10,Azerbaijan,AZE,2.9
11,Bahamas,BHS,100.0
12,Bahrain,BHR,100.0
13,Bangladesh,BGD,1.4
14,Barbados,BRB,100.0
15,Belarus,BLR,100.0
16,Belgium,BEL,99.0
17,Belize,BLZ,25.0
18,Benin,BEN,9.0
19,Bhutan,BTN,90.0
20,Bolivia,BOL,42.7
21,Bosnia and Herzegovina,BIH,59.2
22,Brazil,BRA,100.0
23,Brunei,BRN,100.0
24,Bulgaria,BGR,87.0
25,Burkina Faso,BFA,1.0
26,Burundi,BDI,28.4
27,Cambodia,KHM,26.1
28,Cameroon,CMR,2.0
29,Canada,CAN,100.0
30,Central African Republic,CAF,6.0
31,Chile,CHL,93.1
32,China,CHN,96.9
33,Colombia,COL,87.7
34,Costa Rica,CRI,100.0
35,Cote d'Ivoire,CIV,1.2
36,Croatia,HRV,97.0
37,Cuba,CUB,100.0
38,Cyprus,CYP,65.0
39,Czechia,CZE,100.0
40,Democratic Republic of Congo,COD,10.0
41,Denmark,DNK,100.0
42,Djibouti,DJI,30.0
43,Dominica,DMA,13.4
44,Dominican Republic,DOM,26.5
45,Ecuador,ECU,22.8
46,Egypt,EGY,51.1
47,El Salvador,SLV,21.6
48,Estonia,EST,92.9
49,Eswatini,SWZ,6.2
50,Fiji,FJI,100.0
51,Finland,FIN,100.0
52,France,FRA,99.9
53,Gabon,GAB,57.6
54,Gambia,GMB,99.9
55,Georgia,GEO,25.0
56,Germany,DEU,100.0
57,Ghana,GHA,73.9
58,Greece,GRC,100.0
59,Grenada,GRD,7.4
60,Guatemala,GTM,30.0
61,Guinea,GIN,0.2
62,Guinea-Bissau,GNB,1.6
63,Guyana,GUY,23.8
64,Haiti,HTI,3.1
65,Honduras,HND,12.0
66,Hong Kong,HKG,100.0
67,Hungary,HUN,100.0
68,Iceland,ISL,100.0
69,India,IND,12.5
70,Indonesia,IDN,59.0
71,Iran,IRN,90.0
72,Ireland,IRL,100.0
73,Israel,ISR,100.0
74,Italy,ITA,100.0
75,Jamaica,JAM,20.1
76,Japan,JPN,100.0
77,Jordan,JOR,75.0
78,Kazakhstan,KAZ,70.0
79,Kenya,KEN,39.4
80,Kuwait,KWT,100.0
81,Kyrgyzstan,KGZ,83.0
82,Laos,LAO,11.6
83,Latvia,LVA,70.0
84,Lebanon,LBN,48.3
85,Lesotho,LSO,17.6
86,Liechtenstein,LIE,95.0
87,Lithuania,LTU,95.0
88,Luxembourg,LUX,97.6
89,Madagascar,MDG,3.7
90,Malaysia,MYS,100.0
91,Maldives,MDV,30.0
92,Mali,MLI,1.9
93,Malta,MLT,100.0
94,Mauritania,MRT,6.0
95,Mauritius,MUS,100.0
96,Mexico,MEX,85.6
97,Moldova,MDA,75.7
98,Mongolia,MNG,81.9
99,Montenegro,MNE,95.0
100,Morocco,MAR,42.3
101,Namibia,NAM,28.0
102,Nepal,NPL,0.1
103,Netherlands,NLD,98.9
104,New Zealand,NZL,100.0
105,Nicaragua,NIC,12.2
106,Niger,NER,3.1
107,Nigeria,NGA,2.2
108,North Macedonia,MKD,94.9
109,Norway,NOR,100.0
110,Oman,OMN,97.0
111,Pakistan,PAK,26.6
112,Palestine,PSE,16.2
113,Panama,PAN,51.8
114,Paraguay,PRY,23.6
115,Peru,PER,64.4
116,Philippines,PHL,82.0
117,Poland,POL,97.5
118,Portugal,PRT,100.0
119,Qatar,QAT,100.0
120,Romania,ROU,94.3
121,Russia,RUS,88.0
122,Rwanda,RWA,91.0
123,Saint Kitts and Nevis,KNA,28.8
124,Saint Lucia,LCA,35.5
125,Saint Vincent and the Grenadines,VCT,9.4
126,Sao Tome and Principe,STP,2.1
127,Senegal,SEN,20.1
128,Serbia,SRB,92.1
129,Sierra Leone,SLE,0.0
130,Singapore,SGP,100.0
131,Slovakia,SVK,94.8
132,Slovenia,SVN,100.0
133,South Africa,ZAF,100.0
134,South Korea,KOR,100.0
135,Spain,ESP,99.2
136,Sri Lanka,LKA,100.0
137,Sudan,SDN,29.7
138,Sweden,SWE,100.0
139,Switzerland,CHE,100.0
140,Syria,SYR,90.0
141,Taiwan,TWN,99.6
142,Tajikistan,TJK,0.3
143,Tanzania,TZA,13.0
144,Thailand,THA,98.0
145,Togo,TGO,4.0
146,Tunisia,TUN,80.0
147,Turkey,TUR,86.0
148,Turkmenistan,TKM,82.3
149,Uganda,UGA,2.0
150,Ukraine,UKR,100.0
151,United Arab Emirates,ARE,100.0
152,United Kingdom,GBR,100.0
153,United States,USA,84.0
154,Uruguay,URY,97.2
155,Uzbekistan,UZB,100.0
156,Vanuatu,VUT,100.0
157,Venezuela,VEN,100.0
158,Vietnam,VNM,61.0
159,Yemen,YEM,42.0
160,Zambia,ZMB,8.4
161,Zimbabwe,ZWE,1.0
