,Entity,Code,Year_2,"Life expectancy at birth, total (years)",Health_Expenditure_and_Financing_per_capita_OECDstat_2017,Population (historical estimates)
2945,Australia,AUS,1971,71.06829071044922,982.3137,13033130.0
2946,Australia,AUS,1972,71.45755767822266,989.9003,13244163.0
2947,Australia,AUS,1973,71.84683227539062,1007.0003,13431790.0
2948,Australia,AUS,1974,72.23609924316406,1138.423,13605574.0
2949,Australia,AUS,1975,72.6253662109375,1299.7468,13773290.0
2950,Australia,AUS,1976,73.01463317871094,1337.0718,13935722.0
2951,Australia,AUS,1977,73.34439086914062,1403.1552,14092545.0
2952,Australia,AUS,1978,73.67414855957031,1410.1761,14249403.0
2953,Australia,AUS,1979,74.00390625,1410.7119,14413002.0
2954,Australia,AUS,1980,74.33365631103516,1440.4453,14588400.0
2955,Australia,AUS,1981,74.66341400146484,1467.8877,14777241.0
2956,Australia,AUS,1982,74.90487670898438,1475.0446,14979203.0
2957,Australia,AUS,1983,75.1463394165039,1508.2358,15194644.0
2958,Australia,AUS,1984,75.38780212402344,1561.121,15423156.0
2959,Australia,AUS,1985,75.62926483154297,1617.1644,15663672.0
2960,Australia,AUS,1986,75.87073516845703,1688.0412,15917580.0
2961,Australia,AUS,1987,76.1517105102539,1712.2838,16183159.0
2962,Australia,AUS,1988,76.43268585205078,1736.7152,16452258.0
2963,Australia,AUS,1989,76.71366119384766,1783.3481,16713989.0
2964,Australia,AUS,1990,76.99463653564453,1853.1596,16960600.0
2965,Australia,AUS,1991,77.2756118774414,1920.2033,17189235.0
2966,Australia,AUS,1992,77.3780517578125,1994.4415,17402179.0
2967,Australia,AUS,1993,77.8780517578125,2060.3732,17603211.0
2968,Australia,AUS,1994,77.8780517578125,2129.3472,17798526.0
2969,Australia,AUS,1995,77.82926940917969,2202.176,17993083.0
2970,Australia,AUS,1996,78.07804870605469,2307.517,18189274.0
2971,Australia,AUS,1997,78.48048400878906,2392.0429,18387205.0
2972,Australia,AUS,1998,78.63170623779297,2543.6197,18587027.0
2973,Australia,AUS,1999,78.93170928955078,2646.7086,18788187.0
2974,Australia,AUS,2000,79.23414611816406,2767.6725,18991434.0
2975,Australia,AUS,2001,79.63414764404297,2872.3738,19194676.0
2976,Australia,AUS,2002,79.93658447265625,2999.5093,19401366.0
2977,Australia,AUS,2003,80.23902130126953,3090.6573,19624163.0
2978,Australia,AUS,2004,80.49024200439453,3240.3186,19879654.0
2979,Australia,AUS,2005,80.84146118164062,3242.9106,20178543.0
2980,Australia,AUS,2006,81.04146575927734,3323.2565,20526300.0
2981,Australia,AUS,2007,81.29268646240234,3415.193,20916339.0
2982,Australia,AUS,2008,81.3951187133789,3494.4375,21332293.0
2983,Australia,AUS,2009,81.54389953613281,3629.7041,21750852.0
2984,Australia,AUS,2010,81.69512176513672,3607.3407,22154687.0
2985,Australia,AUS,2011,81.8951187133789,3738.1767,22538002.0
2986,Australia,AUS,2012,82.04634094238281,3831.3635,22903951.0
2987,Australia,AUS,2013,82.1487808227539,3901.7343,23254912.0
2988,Australia,AUS,2014,82.30000305175781,4009.8881,23596426.0
2989,Australia,AUS,2015,82.4000015258789,4164.2213,23932499.0
3203,Austria,AUT,1970,69.91463470458984,849.863,7516238.0
3204,Austria,AUT,1971,70.11463165283203,876.7198,7550339.0
3205,Austria,AUT,1972,70.46341705322266,924.9049,7581120.0
3206,Austria,AUT,1973,71.01463317871094,983.3833,7607067.0
3207,Austria,AUT,1974,71.01219177246094,1068.3942,7626290.0
3208,Austria,AUT,1975,71.11463165283203,1365.5542,7637686.0
3209,Austria,AUT,1976,71.56585693359375,1481.9085,7640755.0
3210,Austria,AUT,1977,71.91463470458984,1543.0276,7636573.0
3211,Austria,AUT,1978,72.01219177246094,1602.6562,7627762.0
3212,Austria,AUT,1979,72.31219482421875,1685.3273,7617883.0
3213,Austria,AUT,1980,72.46341705322266,1738.9518,7609750.0
3214,Austria,AUT,1981,72.81219482421875,1485.8219,7604512.0
3215,Austria,AUT,1982,72.96097564697266,1508.3548,7602177.0
3216,Austria,AUT,1983,73.01219177246094,1512.4136,7603100.0
3217,Austria,AUT,1984,73.61219787597656,1525.3671,7607296.0
3218,Austria,AUT,1985,73.81463623046875,1597.0039,7614874.0
